PartitionKey,UniqueId,DisplayValue,Culture
Company,8fd35bc4-8e93-4088-be83-a36a794130e8,Org Chart & Directory,
Company,a3e615e8-a240-44f9-80c4-5f6f947cc5cd,Departments,
Company,b3048c7d-9748-4220-b163-0798d33c73a8,Work Locations,
